Municipio,escuelas/100_alumnos_priv,escuelas/100_alumnos_pub,unidadEsc/100_alumnos_priv,unidadEsc/100_alumnos_pub,profesores/100_alumnos_pub,profesores/100_alumnos_priv,bibliotecas/100_alumnos,idiomas/10_alumnos,actividades/10_alumnos,Magnitud6,Magnitud7,Magnitud8,Magnitud10,Magnitud12,Magnitud14,Magnitud83,Magnitud88,Magnitud89,Total_x,frac_extranjeros,frac_young,frac_old,frac_HighEduc,edadMedia,densidad,serviciosOcio,serviciosGenerales,familiares,antiguedadFamiliares,superficieFamiliares,unidadesUrbanasResidenciales,1-3p,4+p,size,rooms,price,priceByArea_x,bathrooms,hasLift,parkingSpace,newDevelopment,propertyType,pisoBajo,numHouses,centros_100,farmacias_100,centrosSociales_10,clinicaDental_10,otroConsulta_100,consultaPrimaria_100,orgNoSanitaria_100,distanciaCentro_x,Bus_100,estacionTren_100,servicioCoches_100,estacionBus_100,trabajadoresLugarTrabajo,paro_100,rentaBruta,pensionMedia,trabajadores_100,contratos_100,pensionistas_100,ocupadosColectivos_100,funcionario_100,organizaciones_100,grupo,priceByArea_y,Total_y,distanciaCentro_y
Acebeda (La),49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,22.759279194254788,15.71876561673844,0.4578734667923856,0.0,68.48729415888846,0.0,58.64459263090885,47.3995185955086,100.0,54.244475458950525,31.448428893604927,43.00622298575381,100.0,65.8124503376167,0.0,41.36386674079865,50.06868210770399,61.78976687501212,60.5525140604455,14.44601984726198,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,37.67395626242545,100.0,37.86330364170312,46.63775808083096,44.68278662862529,46.383235266670944,90.21715467448637,45.38339361471625,21.37656051086197,90.45981884694156,48.77222343132031,48.737630310809,87.11763536980037,39.24649497563031,43.97178752479611,46.860285028032735,53.38226400571775,96.5136628274966,100.0,12.882364630199632,69.18583237445378,48.01257739885215,100.0,1,1072.6133333333337,62,88.477
Alameda del Valle,49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,27.840532051376577,59.54078001155354,33.45326142439964,41.3108073887057,91.72037511706608,41.56025641025642,57.023094600338354,47.3995185955086,78.56563623718638,70.60501656992308,45.147466942373626,53.89484890298171,71.69880670560396,70.2594062365319,36.87789397450346,65.31602311707026,84.71490268603183,33.56672548213099,47.59665647659277,61.9115136311228,70.75535121771378,25.57234295505057,48.96437448218724,28.32386908738696,67.97620353108894,42.04771371769384,52.58597006107166,88.9133695294325,46.63775808083096,44.68278662862529,46.383235266670944,54.69852538060908,45.38339361471625,16.061712044679894,50.95077742142509,48.77222343132031,48.737630310809,58.60272416386875,40.46272338889223,58.551906546175886,64.56589354930834,50.513008472764376,51.84054591354216,50.10866550638592,41.39727583613125,49.076685547368434,48.01257739885215,56.74223685066764,1,1277.9085714285711,241,92.242
Ambite,49.0983173689666,79.97953185759931,48.7297670605121,68.66236963664825,84.56733334983639,48.46789721672274,48.9251581669976,50.0,48.96177193079584,95.4002493838526,47.64108417247635,42.18699491585716,47.41250383643788,44.43102244469432,49.07094160469786,81.50406569145613,31.74048102010533,100.0,39.39399525164792,69.76853934056332,43.83078552252843,50.93613574062796,37.38384074758133,47.94401709401711,53.11461389571666,47.3995185955086,41.84962139325967,55.86488905230967,40.81777947071521,36.919850502133706,57.39302734281188,57.52505689751038,39.11899398190504,30.768859696911697,39.36911398792626,68.02110608125264,58.01786965472346,32.503544656339464,50.0,23.974071520359907,48.96437448218724,59.94121132447005,50.0,47.514910536779325,42.27107221053958,56.84951641784938,46.63775808083096,44.68278662862529,46.383235266670944,44.77523425813448,48.64040243905912,68.93916060942055,44.9003678859274,48.77222343132031,49.326549852848736,51.42645551992442,44.92222757085264,36.56601278377782,42.81549709522108,45.24486716635818,48.31117201232208,49.29663514254232,48.57354448007558,43.05616220180266,48.01257739885215,46.86197412941486,1,1112.7766666666666,648,54.784
Anchuelo,49.0983173689666,42.06466298615018,48.7297670605121,56.52943752694348,49.19511509857641,48.46789721672274,48.9251581669976,50.0,48.96177193079584,0.0,9.624039317496267,10.708046851456302,3.444976826643938,10.425014874511293,88.45991440209956,82.05793171983939,84.76486606263073,83.8938659926996,59.43513780543553,43.089822561626825,70.23657241711841,61.49035232602826,44.48910644116233,68.4115384615385,43.78789628036783,47.3995185955086,39.9339341065339,43.652904883619065,63.54863869692189,36.480083704184274,36.46790336009412,43.1681316510142,56.44462515587266,64.48024574564289,35.8025912813337,44.97391799987162,55.36216226821521,72.23009923630993,50.0,63.93085738762642,48.96437448218724,59.94121132447005,67.97620353108894,40.95427435387674,39.08633500514101,46.94976293191196,46.63775808083096,44.68278662862529,46.383235266670944,40.27999972826659,45.38339361471625,86.7019064925465,38.4839588037179,48.77222343132031,48.737630310809,40.66228348076518,48.512997171911664,53.84615384615385,52.50931652000115,54.99563228080464,51.29664153336845,49.199279007988096,59.33771651923482,44.44722539266574,49.790581512355786,43.5850701558621,1,1154.8583333333331,1354,42.201
Atazar (El),49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,24.03668913040272,50.55152085969714,38.4699295931172,48.23265835647289,49.35285987908417,40.93504273504276,58.41365952701443,47.3995185955086,68.93779769995211,69.35966255987236,57.531304226902,30.11226046987651,43.40890560009976,64.34270521194414,56.73836337531,55.77593019443612,14.403455041778262,60.51311879908212,71.77781863162492,0.0,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,35.487077534791254,73.15276172465526,37.86330364170312,46.63775808083096,44.68278662862529,46.383235266670944,36.15406208612156,45.38339361471625,26.50224836762351,52.67735120480928,48.77222343132031,48.737630310809,63.91399115311991,38.60942294963596,0.0,46.12379195797365,47.56379008069591,62.25339636465775,49.948511701386586,36.08600884688009,65.85205633121414,48.01257739885215,44.00143077638047,1,894.74,107,84.846
Batres,49.0983173689666,48.72806939141284,48.7297670605121,63.88529183735683,58.21887809345948,48.46789721672274,48.9251581669976,50.0,48.96177193079584,12.24804083012259,0.0,0.0,0.0,0.0,100.0,100.0,100.0,95.3111591865573,72.74858802884403,37.9257115632094,61.37790054879619,59.297617020890776,68.6649012276688,59.98760683760687,38.17349038891314,49.0441853207176,40.95535376791484,36.04283542314113,64.2004196066339,99.8416839527382,36.40350905024466,34.56502577876378,65.84502604214431,28.1111895798424,41.15237534122256,57.23672119796488,35.70481056720668,43.33805954178596,41.51070243542756,21.310285795875465,48.96437448218724,32.27603686702234,0.0,43.141153081510936,38.33431381107597,44.61210555006449,46.63775808083096,44.68278662862529,46.383235266670944,39.83142000217052,45.38339361471625,92.91173873762882,39.97974995215343,48.77222343132031,48.94696649470463,39.45024777162795,57.31617425837896,55.23473661009477,68.57768103461125,57.12640729134216,51.59208538403556,49.46832078989948,60.54975222837205,42.4155443354408,48.01257739885215,44.500825223477264,1,1466.34375,1823,37.802
Belmonte de Tajo,49.0983173689666,44.28038384464383,48.7297670605121,54.97575396590728,51.0524157149931,48.46789721672274,48.9251581669976,50.0,48.96177193079584,95.4002493838526,47.64108417247635,42.18699491585716,47.41250383643788,44.43102244469432,49.07094160469786,81.50406569145613,31.74048102010533,100.0,71.21569610546649,37.346731606185735,60.41108494961889,54.687789424334056,26.99108066183172,58.967521367521385,41.11354194817114,47.3995185955086,40.63566692835317,46.294999241183696,46.823474995918815,60.24508146537148,39.73475855338759,44.904669720021154,58.261770022387424,32.64171447739676,25.99465383820412,79.40070818231659,74.3094127971708,32.503544656339464,41.51070243542756,63.93085738762642,48.96437448218724,0.0,67.97620353108894,60.63618290258449,38.40058760437861,44.81811759249044,47.78403574783401,66.72836911976083,46.383235266670944,39.31207201685326,51.34874612510115,65.10654079914582,40.062586637256736,48.77222343132031,48.953356632596304,54.625409285768825,51.58252602442987,43.12320916905444,37.57295419822423,47.81778975082621,59.73401974524423,49.29428681624415,45.374590714231175,42.7615484081031,48.01257739885215,43.58270660414076,1,854.625,1769,57.499
Berrueco (El),49.0983173689666,69.96929778639895,48.7297670605121,58.86936014810082,57.560166712050055,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,43.737189034550894,45.64593360073999,51.991789386560015,45.45004819838814,51.52704549349616,49.42478632478635,52.3522863376996,53.01417672295431,52.33209002961304,35.47402278546564,55.42465521515422,51.83674028857838,44.287527756664126,36.52974781503287,55.95076204682253,65.29645369569049,39.22645307966257,41.32169914235201,55.90319914537122,34.67044763342877,50.0,48.7092246762868,48.96437448218724,55.51478341127842,50.0,61.7296222664016,41.10440637685298,53.22293644937201,49.16930014441201,44.68278662862529,46.383235266670944,41.73360722216587,66.46246196102516,52.61629399203319,43.44213340937383,48.77222343132031,49.21405960324565,38.5610302252017,46.42803417774836,61.94621996914261,53.97107506425638,53.16119021875249,42.00772051492245,49.42964666451208,61.4389697747983,45.41895983753186,48.01257739885215,45.86003737504317,1,1146.2851999999998,801,66.347
Berzosa del Lozoya,49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,27.443115626797223,43.4273782061846,53.02457134378068,38.21722248481558,38.22313964230069,35.275213675213706,55.49347318099467,47.3995185955086,56.3396437338242,35.136405824981644,62.66407889088414,49.03982345362001,43.38000611900176,45.77293476948516,17.256207466345103,66.47795751149364,57.201727520889136,28.19796437710393,38.8399578600301,86.6761190835719,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,36.58051689860835,53.59882606449228,37.86330364170312,73.436417018211,44.68278662862529,46.383235266670944,50.92019310144588,82.57355604950354,30.197938483019183,51.79476747771796,48.77222343132031,48.737630310809,74.99552602523455,42.200192550694986,73.36345602821247,46.57438453448415,57.004111153872,34.08269461300322,50.61295820518684,25.00447397476545,51.971809307008456,48.01257739885215,49.94091062546596,1,1416.665,227,82.228
Braojos,49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,27.18763363956764,36.49259883517459,55.0183278102134,55.18740250544448,64.44400596285838,51.00427350427352,57.17705000293464,47.3995185955086,74.0999532385972,51.30276778167693,42.65673275168841,53.24399404201656,53.73306758335003,51.38467708560174,48.74870239175955,46.14410560908434,57.201727520889136,34.18225223302581,23.25438754732825,65.00708931267893,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,36.58051689860835,54.31864410886296,94.2993856552021,46.63775808083096,44.68278662862529,46.383235266670944,51.52980401492256,45.38339361471625,28.71853311978974,59.95882266674364,48.77222343132031,48.737630310809,47.81806624984492,40.69438594379927,65.41767687899493,48.003266693063374,38.17991337865988,83.66230958814951,49.5837201827772,52.18193375015508,100.0,48.01257739885215,56.23690231264569,1,1663.63,218,83.276
