distrito,centrosPrivadoporAlumno_100,centrosPublicoporAlumno_100,centrosPrivadoporAlumnoExtr_100,centrosPublicoporAlumnoExtr_100,porcApoyoEducativo,porcAlumnoExtranjero,bibliotecas_100,Atestados/partes de accidentes de tráfico confeccionados,detenidos_100,sumaIntervecniones,Número Habitantes,Población densidad (hab./Ha.),frac_extranjeros,frac_mujeres,frac_young,frac_old,frac_HighEduc,posicionVulnerabilidad,residuos(kg/hab/dia),zonasVerdes(ha),superficieDeportiva(m2),centrosDeportivos_100,espaciosCulturales_100,esperanzaVida,espectaculos_100,instalacionesDeportivasBasicas_100,piscinasCubiertas_100,añoMedioConstruccion,size,Viviendas en estado bueno,hogaresAncianoSolo,hogaresMonoparentales,viviendasMalEstado,rooms,price,priceByArea,bathrooms,hasLift,parkingSpace,newDevelopment,propertyType,pisoBajo,viviendas_habitante,drogas/especialidades_100,CentrosSalud_100,CentrosSaludMental_100,HospitalesClinicasSanatorios_100,CentrosMayores_100,CentrosAlzheimer_100,ServiciosSociales_100,AuxHogar_100,socioCentrosMayores_100,metro_100,estBici_100,numBici_100,crecimientoRentaPC,rentaMedia,localesAbiertos_100,paro_100,pensionMedia
Arganzuela,100.0,19.898990398205065,56.23683199060554,62.78790723472263,23.92415265794112,28.773395545797225,46.57072415775889,55.571259035494656,54.02721098079568,55.03924536085695,48.2994088250512,19.25122881904025,29.451504655564985,49.9880868743641,20.08317236646637,46.59803924715651,73.18294284286294,60.0,32.95484905156292,32.238074230416615,41.11293055523594,57.40953556683511,35.03290017168897,63.19043693322284,52.9845258985346,39.908060152436,41.9375741185319,52.88784419073185,39.54244158961264,0.0,53.7399380220765,63.27763001129202,0.0,34.62157809983895,70.73621279249178,49.663270665634506,34.29988553987027,58.23719573103763,50.0,43.24324324324324,32.25806451612904,42.292976167473626,60.11216989868845,52.09632257628714,84.32202763226856,41.90378699386992,31.718643621353127,25.927004156088586,30.58903530810287,28.212968654822912,29.40180556530464,51.74841690013913,58.43457721394834,61.3775768264709,61.95636713598231,100.0,61.30932017311967,48.552362956895806,62.81493856294755,70.69090415176349
Barajas,84.88949753799663,30.317611457022608,66.82122816250016,60.96580447293521,18.014015373180687,28.908983195692183,48.023479337440335,96.6015751429496,53.664819297003454,46.83460213715609,0.0,92.87042426594232,27.055276257583444,31.839715302470275,64.37788117260264,56.13547848862604,62.37102537150116,75.0,57.36040609137056,34.01263528192241,25.503467575204475,65.74464001972439,100.0,83.09975267930744,49.74584453575888,100.0,63.190865800077,62.05507051712544,50.140389410542575,64.28680551758129,83.85934741744593,16.44323917450626,73.47192255308957,52.09339774557164,69.45501001498361,61.016285753170905,45.11636779855016,22.709719866409404,50.0,61.48648648648648,58.87096774193549,82.23634254786538,34.82401651692672,29.899938711393776,54.45212011397984,100.0,55.716015804844965,100.0,100.0,80.02800950451616,20.66112488205352,54.10078674491508,55.56967542733327,37.129455623691456,37.2220862697605,72.29664778189107,62.38827025877137,47.63065992133546,72.02634114495044,79.62828813329108
Carabanchel,29.49326374568964,38.83813162355728,38.3125409541999,3.082146286574666,51.89635000861364,64.45750925839774,41.922402910772064,28.11198619052756,51.96748961449172,51.8390047696203,96.3004601251777,37.07638080455311,80.21230427797894,50.659094438341846,61.59511103773298,60.67095910002538,14.493702717147688,14.999999999999996,43.61474752872028,67.51707717441161,28.606375106128635,36.23402381922613,26.37139585988741,37.6545754328113,41.20947133680773,46.485245414831375,26.78372178256189,51.1249160510407,34.29907909811335,29.84173210521328,45.11455054714328,52.22804101779717,42.95725698237072,30.676328502415444,78.38374183622354,65.66322760410176,34.29988553987027,19.68094954546925,50.0,63.51351351351351,41.935483870967744,66.52006374982888,44.888058594533184,38.7264318502327,28.786385756420067,47.1622982255354,36.28907604556492,35.76662702942465,68.83917602334886,47.400426631464015,79.83671098033874,42.56347562762896,43.57520871908917,38.24203745092552,38.35154457871112,26.81160902378664,19.320397045669708,46.5783674043428,23.79693192100436,19.60995155521348
Centro,32.69644753387892,53.499387367117336,33.09263118313218,65.39672423190119,72.62092691100057,100.0,100.0,33.11899881324847,0.0,0.0,41.54960363544948,10.766718406415748,100.0,0.0,12.716248828607728,79.45046278637763,77.87058236137396,50.0,86.81538872562116,17.618033937957044,50.0,40.83176461909813,70.03593986357751,34.62489694971136,100.0,24.41773252233046,30.32221264791969,0.0,46.18271000447863,4.89661392647795,80.99528254104342,78.50926284395624,7.853021762002257,29.54911433172301,44.67059489664382,21.68932368307265,44.71575734452499,47.64861468903079,50.0,47.2972972972973,32.25806451612904,52.76831980154695,100.0,62.60640341926751,60.766356656720745,44.768665913105245,40.18648495034231,50.170396769852296,53.80826591830752,57.628225115011176,33.655626062146446,17.838042935426046,100.0,100.0,100.0,98.43229092099074,61.27274559394505,100.0,38.18250976922835,34.9413682256531
Chamartín,45.63046179908044,39.60464993170827,52.83661460009748,91.0094151676647,57.79987454638624,34.16498404217555,45.41982199845685,15.741719710864174,53.26684244705454,55.26291760692168,44.44488352432209,45.07421420256114,27.35932317893095,71.3286493419482,32.9971615912971,24.526619922390807,96.99631206653596,100.0,43.05370024044884,23.35845236165292,22.85159916623165,38.380507871926,12.33475531342826,73.57790601813664,52.04397321833323,38.02310503526037,44.09483807169084,46.541302887844026,61.336822051477846,73.65611415264442,34.29743432369298,67.78107810519926,67.4728012180435,65.05636070853461,0.2663945235021003,19.98444253981661,69.55360549408623,71.47292203354618,50.0,43.24324324324324,70.96774193548387,40.85289274958473,60.1179491955253,37.723748375448594,74.03612610731514,14.652484180505564,64.12851948665205,37.66885265556896,32.23898008949536,36.03442774662424,18.513944311557744,35.82811679955705,61.37078978660928,62.77048158849432,62.1257579778989,58.83153007587998,100.0,57.73809056304295,86.42188996054185,96.0293385249242
Chamberí,36.08963899245652,69.91070189751173,38.555815634662096,84.30459552883127,47.73017391461059,60.556101396054586,51.72546248866736,40.79943899018232,55.633021092926604,53.00356587286411,41.3241907742588,0.0,37.918586894441134,81.91777813204506,22.65248966588325,19.77515729131558,95.90506890537807,80.0,45.85893668180604,12.199165072991525,50.0,36.62266260814487,0.2233865662811862,64.05605935696582,65.99162771907783,14.320259935278818,30.41360008016693,31.732706514439112,54.06099454563778,70.13345836915444,29.95951985059408,74.83803502284258,62.7104896012357,62.23832528180353,6.012978711683957,18.66388557642109,55.53223960320487,71.47292203354618,50.0,43.24324324324324,32.25806451612904,36.84188146144368,84.90105962433977,54.51621012069342,61.16825523116174,75.09705662924935,74.20701857863709,28.11088532480948,45.30376891827712,30.862739075982127,32.204147669850926,35.14920039249289,65.71947903343869,68.15833175087788,66.97165707902472,69.31155789172274,89.3620224000637,67.62732263073727,81.62527445457393,88.73205958255988
Ciudad Lineal,48.81852125094313,86.18101559180337,40.00659581923368,48.56536978102201,62.75812897298023,56.37252618622921,47.53329932679735,24.690905167763503,51.036852762503024,51.905105012175575,77.5663776104291,34.72303065580134,52.36334937338157,64.81032532674,30.40938727711463,31.96639267952949,44.18311244585914,55.00000000000001,42.492652952177394,42.86297831708495,35.04892817650116,43.10974582812647,50.80440724217951,73.14509480626515,42.50306363565273,48.02640395537262,57.55862595935925,51.1249160510407,47.31038601291576,69.75539579732053,14.20091335276848,56.57799857998551,67.42385133058426,51.52979066022543,59.71604957588118,54.26167940372815,44.71575734452499,52.1708211757212,50.0,55.4054054054054,37.096774193548384,55.06259457552726,51.52946428433095,35.138132885967345,56.31141727440134,33.945845186793775,64.26721591144062,62.62327909683263,53.628400316917855,38.32283947882304,65.95142947141838,70.7071311743524,44.05252565528057,43.73221342849787,44.008786111160944,44.46444276276768,43.78356557361754,50.19934334379485,52.33938581940561,51.1284918730475
Fuencarral-El Pardo,48.008510787176704,45.945729082581664,64.41496223042644,92.65521366908013,42.92922681499195,21.979056113118784,35.273635251712975,41.4791239615924,58.21164405652676,57.68169186544492,91.54278293565336,93.36195188203338,21.923405334040407,45.56725783858919,59.632034790121736,37.51275129191216,68.80367850119251,70.0,46.41998397007748,100.0,55.60141173791769,44.92183831867948,46.720325001614505,66.65292662819427,45.66437354967541,57.2769828506147,39.38381065161997,50.06715916722607,60.17825078479343,70.14799288062977,52.73277021534451,22.947572254449184,71.10420427849738,84.21900161030595,29.251770739590768,57.57499768396114,77.96642502861502,71.47292203354618,50.0,43.24324324324324,87.90322580645162,46.905173156930616,30.517115729103303,39.09415593521085,42.89562734339098,48.51670267977041,60.28370192072059,43.2342487483353,40.8038139612908,34.11091756871093,45.19731318153173,60.18365060882695,42.47912477754625,38.28838917045303,38.3985993961394,39.61098725788968,60.02137249218437,38.184646704190925,77.21595671918631,73.49572146511524
Hortaleza,77.199299829918,66.00041654776344,40.9731245541935,100.0,27.56383566634284,42.04778477949086,43.22128980937059,58.561872909699,56.5428322243328,55.12081292571474,66.86117111360538,73.97733152244213,31.020818824987472,40.95793222534843,68.73450464851175,57.20970816739201,62.49085973737781,65.0,42.492652952177394,94.33486772254813,71.0054908320606,40.11547215698861,44.13417299496278,63.62324814509481,41.67905705835725,94.56499066170564,49.03415204639519,64.17058428475472,71.71762050865522,54.603478339193536,60.64166531376269,18.195272152464696,63.40011837916687,85.9098228663446,10.41106969175057,47.33098496540165,78.36703548264022,71.47292203354618,50.0,43.24324324324324,85.48387096774194,46.905173156930616,25.890168122932334,47.49380363956734,28.51144946030869,36.25310812598419,43.86564537619383,61.46829264214563,24.633244459236657,42.43845794203091,47.54702020812256,47.19585747330485,40.449451578459325,37.129455623691456,37.2220862697605,80.56470251365225,62.354308149537786,36.82511622297934,67.63536412309188,53.83823063340427
Latina,32.14065252283024,56.30667270998608,39.16426501339364,12.9069835158315,63.761737399736695,77.63098465218208,45.92421353301794,49.83924910993635,54.47073387109191,54.7331778638151,87.91736389681034,65.99404992885785,61.07883690880816,54.52489065678663,24.070346066352982,22.007609422226537,20.14166894154788,20.0,36.60165642532728,78.9974406997794,95.1881489591824,41.36124397956436,56.40925860119932,52.37015663643852,40.71813465193427,46.84583699338457,40.53139100084128,53.94560107454649,37.000205228496895,49.274347385823965,21.777194640024533,63.19410912156892,48.5931512087557,85.9098228663446,10.41106969175057,47.33098496540165,78.36703548264022,71.47292203354618,50.0,43.24324324324324,85.48387096774194,46.905173156930616,55.76380843885798,48.89128366220812,79.1686659454471,49.62702520740804,46.46946096929715,34.81771845287921,45.431660746838574,50.69779979851169,100.0,49.03173160186096,39.5197661677496,38.9248537167944,39.04471831757164,35.57359949276992,26.849535415762148,41.14074241929564,37.928841337926045,33.44388101598226
